inputs,summaries
"VirginTrains Im having problems finding the WiFi start page and the usual bbc news way of doing it no longer works. Do you have a link? <BR> Hi Darren, of course, please can you try this link <LINK> HP <BR> VirginTrains Server cannot be found <BR> VirginTrains <LINK> <BR> Oh no! Could you please try forgetting the network in your settings, reconnect amp then follow the link again? This should do it <BR> VirginTrains Nope. Same issue. Not to worry. Ive got a book. <BR> VirginTrains Got it. Took a few attempts of forgetting network etc. <BR> Apologies about that, Darren, glad youve managed to connect now. Have a good journey HP <BR>","Customer is complaining about the WiFi start page and the usual bbc news way of doing it no longer works. Agent says to try forgetting the network in settings, reconnect &amp then follow the link again and will managed to connect."
"ideacares 9025288580is my number. I cannot open my bill. My plan is 349.bt billed amount is 499. Clarify that <BR> We regret the inconvenience caused. Your contact details are with us and we will get back to you soon. <BR> As per our recent telecon, your concern has been discussed amp addressed. <BR> ideacares You dont have any right to charge extra if you are going to stop or bar the service for late payment. Useless discussion. <BR> As checked your concern has been discussed amp addressed by our team. Rgds, Amit <BR> ideacares I am still having trouble in opening my bill. I can pay only 349 rupees. Dont cheat poor customers <BR> We are sorry for the inconvenience caused to you. We have noted your concern and will get in touch with you soon. Regards, Vicky <BR> As per our recent telecon, hope your concern has been discussed amp addressed.Regards,HItesh <BR> ideacares the issue is not solved. dont charge me extra <BR> Apologies for the trouble. We wish to affirm that your concern has been discussed amp addressed. <BR> ideacares hello cheaters when are you people going to solve this issue iam still not able to open the bill. when are yu going to cancel unwanted charges. i am still not getting proper coverage at my home. when this will be solved <BR> Dear Prasanna,We regret the inconvenience caused. We have your contact details and will get back to you soon. <BR> As per our telecon, we have noted your concern and our team is working on it. Please give us some time to get back to you. Regards, Heetali <BR> ideacares how long should i wait <BR> We are working on this to get it resolved at the earliest. Please bear with us for some time. <BR>",Customer is not able to open the bill. Agent updated that they are working on it and they will resolved at earliest.
"VirginTrains selling online super off peak tickets for time tickets are not valid. You rip off customers with misleading fare availability <BR> How do you mean sorry, Amalia? MW <BR> VirginTrains Bought tickets a month ago for JanMarch at 7.43 h. you were selling super off peak. Now discovered that Website is selling option not valid <BR> VirginTrains You cannot sell tickets and then say this fare is not valid at the time you buy. <BR> Do you have a screenshot of this at all? MW <BR> VirginTrains Why are you giving an option super off peak at 7.43 am if then is not valid? This is ripping off customers who then have to buy again ticket <BR> VirginTrains <LINK> <BR> VirginTrains <LINK> <BR> VirginTrains Fanny thing since I started to write the customer service now you do not offer this fare anymore. Why you did it before? <BR> VirginTrains Should I have to loose all my money? <BR> Not sure why these are showing as Super OffPeak. If youve booked these already please contact our Aftersales team through LiveChat so that they can look in to this further <LINK> CB <BR> VirginTrains Already sent several <LINK> waiting for a call.pretty sure nothing is changing.I write to journal as people should be aware <BR> I cant recreate this issue when booking here, so the team will look in to this further and get back to you if youve requested a call back CB <BR>",Customer is complaining about the online selling super off peak tickets where the tickets are not valid and tells that misleading customers with fare availability. Agent updates that they can recreate this issue when booking there and the team will look into this issue and will get back to them if they have requested a call back.
"AppleSupport just brought a new charger and threw away the packaging because i never had a problem with them fresh out the box. Why wont my charger work? And nothing is wrong with my phone port because my car charger works fine. <LINK> <BR> Lets get to the bottom of the situation together. What happens when attempting to use the cord? Are we using it with a power adapter or in a computer USB port? <BR> AppleSupport Power adapter and it doesnt charge at all but my old broken cord charges the phone just fine from the power adaptor , and it was past time for me to buy a new cord so i did only this one doesnt charge <LINK> <BR> Lets rule the power adapter out of the issue and attempt to charge your iPhone with this cord either in your car or in a computers USB port. Please DM us the results. <LINK> <BR> AppleSupport Sent yall a dm . <BR> Are you able to send a DM using Twitters website? If not, you can connect with us via phone or chat here <LINK> <BR> AppleSupport I sent you several DMs did you not receive them ? I can screenshot them for you <BR> AppleSupport See i DMed you a long time ago you havent responded <LINK> <BR> Sorry for any confusion. Wed like to continue working here with you. Lets make sure weve gone through all the steps under If your device charges slowly or wont charge <LINK> <BR> AppleSupport My device wont charge . But its okay. I will never buy another Apple charger anyway. They are overpriced and dont work. I got a 5 generic pink charger from the gas station and it charges my device just fine. <BR> We understand wanting to get your Apple Charger working again. Was it purchased directly from Apple? Let us know in DM and we would love to look at some service options together. <LINK> <BR> AppleSupport I sent you a dm but i am sure you wont respond <BR>",The customer is complaining that his iphone was not at all charging. The agent asked to dm to look at the service options together.
"VirginTrains hello. My wife and I are travelling back from London to Liverpool tonight from celebrating our 20th wedding anniversary. Any chance of an upgrade to first class? I am staff? Please <BR> Hi Robbie, happy anniversary to you and your wife Im afraid we cant promise anything on upgrades but we can do our best to contact the Train Manager to see if theres anything they can do. Which service are you travelling on? HP <BR> VirginTrains Thanks for the reply. We will be on the 2007 from Euston to Liverpool, coach A seats 17 and 18. We are still in Brussels now. <BR> Ok, could you please drop us a message when you board the service and we can get the Train Manager to double check to see if theres availabilitywhat they can do for you HP <BR> VirginTrains Great. Thanks we will <BR> VirginTrains We have boarded the train! <BR> Thanks Robbie, well just get a message out to the TM now, where are you sitting please? HP <BR> VirginTrains Coach A seats 17 amp 18. Thanks <BR> Thanks Robbie, Thanks Robbie sorry I just realised you sent us that info earlier. I have messaged the TM for you so will let you know as soon as we hear back HP <BR> VirginTrains Ok no problem. Thanks. <BR> VirginTrains Thanks for trying. We assume the train manager was very busy as we heard nothing from him. Good journey all the same! <BR>",The customer is asking that can they upgrade their seats. The agent updated that they were afraid to promise but can able to best to contact the train manager to see something they can do.
" why cant i listen to all songs, in a playlist folder, on mobile anymore? <BR> Hey there! Does logging out, restarting your device, and logging back in help? Let us know TF <BR> SpotifyCares No it doesnt unfortunately, happened sometime after a recent update on Android <BR> Got it. Best thing to try here is a reinstall. Just follow the steps at <LINK> <BR> SpotifyCares Also didnt help <BR> We hear you. Does the issue happen on any other devices? Keep us posted TF <BR> SpotifyCares The desktop layout is different to the mobile one. Lots of people complaining online that the feature was removed <BR> No worries! Can you DM us your accounts username and email address? Well take a look backstage TF <LINK> <BR>","The customer asks why can't he listen to all songs, in a playlist folder on mobile and adds that it happened sometime after a recent update on Android. The agent asks does logging out, restarting the device, and logging back in help to resolve the issue and asks to DM customer's account's username and email address to assist further on the issue."
"SWHelp the 2120 Salisbury train from Waterloo. Not really getting much info guys. <BR> SWHelp So it was incorrectly coupled? Really? Your driver decoupled and recoupled it and the doors magically worked. Serious breach in protocol there guys. Playing with safety because previous driver wanted to clock out. <BR> On occasion the electrical contacts that the trains use to pass communications for door controls, power and brake, information systems, etc will not make contact properly. In these cases, detaching and reattaching is the approved process taken in line with our fleet 13 <BR> teams faultfinding instructions, and done under the instruction of maintenance staff and the fleet control manager. The trains failsafe systems would not allow it to move in this situation, and if we could not resolve the problem, the train would be taken out of service. 23 <BR> Safety is, and always will be, our first priority, and in this case protocols were followed correctly. Our fleet team will investigate using onboard monitoring systems as to what when wrong in this case and take appropriate action. DB 33 <BR> SWHelp So wait a second. Once a driver couples the train its not protocol to test immediately, but to wait until the carriages are full of passengers to then couple? Thats your statement? <BR> On more modern stock the train will undertake the necessary tests to confirm. With older trains, there is a pullaway test to confirm the trains are physically coupled together, but it is not always immediately apparent that the all of the 100 contacts on the train 13 <BR> type in question are making suitable contact. Any one of these pins not making proper contact can result in the train not being able to move as part of failsafe systems built in. As mentioned, more modern trains such as our 450 and 444 types have computer systems on board 23 <BR> which test each signal passing through the contacts to confirm that the train is attached both physically and electronically. DB 33 <BR> SWHelp Whilst Im still shocked, I appreciate the fullness of the answer! <BR> No worries Im ex traincrew, so this is rather my specialist topic! Appreciate that it seems a little antiquated, but its all vetted and okayed by the safety bodies. Its similar to the modern trains, where resolving problems can often come down to turning off the 12 <BR> trains management systems and turning them back on again! DB 22 <BR> SWHelp Ahh that makes sense, thought the response was a little more detailed than usual. As a regular passenger I like understanding more, helps me to work around problems and know when to make alternative plans. Its amazing how often turning it off and on again actually works <BR> I always try to give something a bit more detailed, running a railway often has a lot more to it than it appears I was recently conversing with about emissions standards, which was an interesting research topic. Benefits of 6 years experience though! DB <BR> SWHelp Keep up the good work! <BR>","Customer is asking that salisbury train from waterloo. Agent updated that he was giving information more detailed, running a railway often gas a lot more to it than it appears."
". Tesco used to do a box of chocolate orange segments that Id use for baking! Much cheaper than Terrys. Have you discontinued them? I cant find them at my local Extra anymore? <BR> Hi Amy, is there any chance that this is the product youre looking <LINK> Calum <BR> Tesco No it was an orange box with a foil bag of chocolate orange segments! <BR> Tesco Like this <LINK> <BR> Hi Amy, Ive checked amp its been discontinued from our range. Im sincerely sorry for any inconvenience caused Laura <BR> Tesco Oh thats OK, Im OK thats fine. <BR> Sorry about that, Amy! Have a good day Laura <BR> Tesco Laura Im not gunna lie my day got worse. just been told by the lady behind the hot deli counter youre also discontinuing cod bites! Is this true? <LINK> <BR> Hi Amy, is this the product youre referring to? <LINK> If so I have good news for you! Our Andover Extra on River Way still sells these . <BR> Tesco I mean the cooked ones you can buy over the hot counter! Theyre delish and a nice quick lunch for when Im busy rushing around shopping! <BR> Oh.well in that case I have some bad news for you. Weve stopped selling them in the Andover store however if you DM me your name and address Ill log your interest in bringing this item back . Regards Peter <LINK> <BR>","Customer is complaining that they can't find a box of chocolate orange segments that was use for baking and asks whether they have discontinued them. Agent updates that they have stopped selling them and however if they DM their name and address, it will help them to bring this item back."
"Delta no response for me regarding my lost baggage in Rome? Way to add to the already ill feelings delta <BR> Im sorry to hear that your luggage has been delayed further. Thats certainly not the impression we want to portray. Do you have a delayed file reference number? HEC <BR> Delta Luggage just showed up. Still very unimpressed on how it was handled at the Rome airport. <BR> Im glad to hear that your luggage arrived! As a gesture of apology, Id like to offer you 8K bonus SkyMiles for the inconvenience we caused. HEC <BR> Delta Thank you. I would greatly appreciate it! <BR> Please, bear with me while I issue your miles. AMV <BR> Your miles should be posted within 48 hours. Please, let us know if you need any further assistance. AMV <BR> Delta No worries <BR> Enjoy your evening! ABN <BR>",Customer is complaining that his luggage has been delayed. Agent says that the miles should be posted within 48 hours.
" Ive downloaded the latest app deleted and reinstalled and the log in screen does not even appear in the app once loaded <BR> Hey Jack! Can you let us know the exact device youre using as well as the operating system versions its running? JL <BR> SpotifyCares iPhone 7 Plus, running 11.0.2. currently the log in screen just says Log In at the top, and the running intro video loop <BR> Could you send a screenshot of how exactly it appears from your end? JL <BR> SpotifyCares <LINK> <BR> SpotifyCares It takes 5 minutes between pressing Log In and getting to that screen. Then it holds there, with the video looping. Reinstalled twice <BR> Hmm. Could you try removing the app again, restarting your device, then reinstalling? Also, does this happen on other devices? JL <BR> SpotifyCares I figured out a fix after this happening a few times go back to main screen, press Log In again correct screen loads <BR> SpotifyCares Literally, its go back a page, go forward again. <BR> Its good to hear that you can log in now. Just to check, after logging out, does the same still happen when trying to log back in? JL <BR> SpotifyCares Yes. I logged out amp shut down app. It took ten minutes to blank log in screen additional blank screens for every time I hit Log In. <BR> SpotifyCares .after that I had to hit back button many times to get to original screen, pressed Log In, that worked. Log Out wo App quit is normal <BR> Just to confirm, does this also happen on any other device you have? Trying a different network connection might also help JL <BR> SpotifyCares I see no reason to unreinstall the application on desktop or continue to test this on different networks. Problem began with new mobile app <BR> We understand. Lets continue troubleshooting on your phone. Can you DM us your accounts username and email address? JL <LINK> <BR>",Customer has some issue with logging into the Spotify app after installing the latest version. Agent requests for screenshots for more details and requests for the personal details. Also suggests to reinstall after restarting the device.
"Tesco hi. Me again lol. Ur chout on ur app amp Web arent loading at all. Just says oops something went wrong on both. Even tried another handset n still nope. Xx <BR> Hi there, thank you for getting in touch sorry to hear that you are having issues using our grocery app and website.Please could you advise if you are using a Brand Guarantee voucher on your order? 12 <BR> If so, can you remove this from the order to see if this helps? you can then readd this to your order. Kindest regards Hannah. 22 <BR> Tesco Hiya. Thankyou for ur quick reply. Im not using anything. Just plain shopping lol. Just not going through to checkout at all. Im able to book a slot but thats all <BR> Are you able to clear your cachecookies amp browsing history for us please amp try again? Mike <BR> Tesco Hi. I already have lol <BR> Have you tried to delete and reinstall the app? An inprivate browsing tab can sometimes work also. Thanks Murray <BR> Tesco Hi. Ive tried reinstalling the app too and on my browser Ive logged out and back in too. Only been 2 days. Mite be ok tom <BR> I am sorry, these are all the fixes we have. Can you DM your name, address, device and version of the app so I can log this? Charlotte <LINK> <BR>","Customer is complaining that they have issue with the grocery app where its not loading and says ""oops something went wrong"" and have tried using another handset but still facing same issue. Agent apologies because these were the fixes they had and requests to DM their name, address, device and version of the app so that they can look into this."
"115714s reception and customer service lack but they do offer some pretty cool benefits. They dont make up for the terrible customer service I receive 90 of the time when I call nor the fact that I rarely have reception. but theyre pretty cool! <BR> And lets not forget that I cant talk on the phone and browse the web or use any apps unless Im on WiFi but I could in 2012. stilldisappointed I dont understand the regression <BR> Hey Tamisha! We do understand how you feel! Simultaneous Voice and Data on a phone is available when connected to WiFi, and at times on Sprints data network with devices that have Calling Plus capability also called LTE Calling which allows calls CO <BR> to go over the Sprint LTE network. Some Android devices have this such as LG G6, Stylo 3 LS777, V3, X charge and Samsung GalaxyJ7 Perx SMJ727P, Note 8, S8 and S8. Phones have a singleradio and does not have the capability to use data on CO <BR> the LTE network while on a voice call. A single radio better supports the new Sprint LTE Plus network, and preserves device battery life. When connected to WiFi, customers can make calls and access data. CO <BR> Please let us know if you have any more questions. We are here working for you. Thank you for reaching out to us. Thank you for choosing Sprint. CO <BR> sprintcare I love how you completely ignored the statement about your terrible customer service and reception. <BR> Oh no! We dont want you feeling this way. While some experiences may seem less than, we are here working to ensure every customer has a positive experience with Sprint. Kindly send us a direct message. Please lets know what makes you feel this way about us. CO <BR>",Customer is complaining that reception and customer service lack. Agent updated that when connected to wifi customers will make calls and access data.
"AppleSupport thnx to the update, I havent had service the last 2 days. Nothing on the support page helps. Great update <BR> Well help in any way we can. Are you getting a Searching icon in the top left? Which carrier are you using? <BR> AppleSupport Yes and ATT. <BR> Lets make sure the settings for your carrier are up to date. <LINK> <BR> AppleSupport Im assuming they are because I didnt see an option to update and it showed atampt next to carrier, but not available next to network <BR> Thanks for those details. Check out this article and let us know if the issue perists <LINK> <BR> AppleSupport I have performed all those and none have worked <BR> Lets look into this a bit closer. Join us in DM by using this link <LINK> <BR>",Customer is complaining about the issue with the service after the previous update and states that didn't get any help visiting the support page. Agent suggests to update the carrier settings and requests to check out the article he shared to resolve the issue.
"ideacares my idea numbers due date of payment was 16th November. I havent paid the amount so from 34 days I am getting i am getting calls from idea customer care asking me to pay the amount immediately else my connection will be cut 12 <BR> ideacares Now I want to disconnect my number please provide my outstanding details and give me details to disconnect my idea number 9868210681 <BR> Sorry for the trouble caused. As it is just the reminder calls for the payment. Kindly clear the dues to avoid further inconvenience. Regards,Sneha. <BR> ideacares Yeah I will clear my dues and will disconnect my number <BR> Sorry for trouble caused to you. As there is some outstanding amount remaining dur to which you are getting the remainder calls. Please pay that amount to stop the calls. <BR> ideacares You can disconnect my number today itself. My bill has been inflated. I am not paying it. You can disconnect my idea today itself. I have already taken jio number <BR> We are sorry for the inconvenience caused to you. We dont want to lose you as our customer. Request you to share the concern for disconnection of services from Idea. <BR> ideacares My bill has been inflated for the previous month amp for the current month unbilled amount shown is 400 I dont know what are they charged for therefore I have decided to discontinue from idea. By tomorrow I will visit idea store to disconnect my connection <LINK> <BR> Sorry for the trouble caused.We request you to DM your nonidea number to assist you better. <BR> ideacares I dont need any assistance my mind to disconnect my connection <BR> ideacares I have made my mind to disconnect my connection <BR> Please allow us an opportunity to win you back. We dont want to lose you as our customer.Request you to DM your nonidea so we can assist you better. <BR> ideacares I dont want to talk to customer care executive. I want call from idea service or nodal office as ur customer care executive dont know how to talk they talk like illiterate <BR> Sorry for the trouble caused.As checked your complaint was raised and resolution was given.i.e Special waiver of Rs 350 has been passed which will reflect in subsequent bill. <BR> ideacares Even after your special waiver I am going to disconnect my connection tomorrow <BR> Sorry for the trouble caused. We understand how frustrating this can be. Please bear us for sometime, as we dont want to loose a valuable customer like you. <BR> ideacares What will u guys do? ? <BR> We are sorry about the problem you had with our services. We are working continuously in improving our services. Please bear us for sometime. <BR> ideacares I dont have time to bear with you there are many players in the market airtel jio <BR>",Customer is complaining about the reminder calls on paying the bills and wants to disconnect the service. Agent states that they are offering special waiver and requests to continue the service.
"Delta How do I go about filling a claim for my luggage that was damaged during the flight home that I paid an extra 100 for. <LINK> <BR> Hi, Beth, Im very sorry to see this. You would need to bring the damaged bag to the Baggage Service Office within 24hours of your. 12 <BR> .flight for a Domestic flight and within 7 days if it was an International flight. TRR 22 <BR> Delta Ok Ill bring it back to the airport today. Do I need to bring anything else with it <BR> Just bring the bag and your boarding pass for the arrival to the baggage service office. TMS <BR> Delta Thank you delta <BR> You are very welcome Beth. Have a good day. TMS <BR> Delta I had to go to work is there anyway I can bring my luggage to the airport today. <BR>",Customer wants to know how he can fill the claim for luggage that was damaged in the flight. Agent asked the customer to bring the damage luggage to the baggage service office.
"O2 Im still waiting for my Iphone X. The case is here in front of me looking lonely and sad. Where is my phone <LINK> <BR> Hey Jack, what size and colour did you order? Can you also confirm the day and time it was placed please? <BR> O2 I got a space grey 64gb Iphone X the saturday just gone <BR> Its up to a 4 week wait for that model ordered at that time. Well text and email as soon as its been dispatched <BR> O2 why so long? I can order a tooth pick from china and it would arrive quicker than that? This is 1k phone <BR> O2 AppleSupport would u guys like to weigh in here? <BR> The handset is hugely popular and is in massive demand, well get it out to you as soon as possible <BR> O2 but if its in such high demand why dont u stock more phones? u knew it was gonna be popular cause it has an logo on it <BR> O2 im kidding i dont expect u to answer that. But u have to admit its a good point <BR> It depends on the stock we receive, Jack. Well get all orders sent out as quickly as we possibly can. <BR>",Customer is complaining  about the iPhone  which has not yet delivered. Agent says all orders sent out as quickly as  possibly can.
"Dear AmericanAir need a direct flight from BDL to PITT SteelerNation <BR> We may not have a direct flight but we can get you there. Check out our website <LINK> <BR> AmericanAir Yes I know I travel here all the time but nice if you had a direct flight ! <BR> Were always reevaluating our routes, and truly appreciate your feedback! <BR> AmericanAir My please feel free to add a few points to my account ! <BR> You totally deserve the upgrade so please sit back and enjoy the flight back home! <BR> AmericanAir Thank you but I am heading to Pitt for the game <BR> Enjoy it! Have a great evening. <BR>",The customer says that he need a direct flight from #BDL to #PITT #SteelerNation and asks to add a few points to his account. The agent says that they may not have a direct flight but they can get him there and adds that he totally deserve the upgrade and requests to enjoy the flight back to home.
"ideacares my number 9870347384 has been deactivated.After number of attempts by visiting idea gallery no efforts have been done by ur side to activate again.I m ready to pay outstanding dues but want to activate the number <BR> Sorry for the trouble caused.As checked,your number is inactive due to nonpayment,If you have cleared the same we request you to visit nearest my idea store with your payment slip. <BR> ideacares I went to idea gallery yesterday. They replied that even if the payment is made, the number 9870347384 will not be activated.First give me assurance that my number will be activated then I will surely make payment <BR> Sorry but we are unable to give you assurance that you will get the same number or not. <BR> ideacares Then who will give assurance <BR> ideacares I want to call.Give me the number <BR> ideacares Customer care <BR> Sorry for the trouble caused.We request you to dial 19812345 for futher assistance. <BR>",Customer is complaining that the even after the payment is done the number is not activated and customer needs assurance before making a payment. Agent updated that the number is inactive due to not making a payment.
"GloCare pls I buy 1000 data on renewable, but still didnt receive my 100 bonus. <BR> We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO. <BR> GloCare 07057427007 <BR> GloCare I still didnt receive any msg if my problem has been solved. <BR> Good evening, please provide affected number for clarification? SO <BR> GloCare 07057427007 <BR> Morning Mohammed, the 100 bonus data has been added to the data plan. Dial 1270 to checks. TT <BR> GloCare Thank you for taking my issue serious. <BR> You are welcome. Stay Unlimited! TT <BR>",The customer is complaining that they haven't receive 100% bonus. The agent updated that 100% bonus data has been added to the data plan.
"Morrisons what is your policy on swipe and sign cards. As I have been refused twice! Even tho was told via your fb page I could. <LINK> <BR> Hi Sallyann we do accept both VisaMastercard gift cards Raj <BR> Morrisons Hi there. Please can you tell them at my local store that. The keep refusing. And said h.o. said they dont. Please help. <BR> Morrisons I could not get any shopping. Its the only means I have to buy some right now and i always shop at Morrisons. Thanks x <BR> hey Sally, please confirm the Store you visit so I can look into this Taz <BR> Morrisons Hi there it was willenhall west midlands branch. The lady said she called head office and they said no. But I dont think she did. Thanks x <BR> Hey Sallyann, Ive just been speaking to our Duty manager Donna whos now aware we accept these. Be sure to ask 12 <BR> for a member of the Management Team if theres any issues going forwards Taz 22 <BR>",The customer is asking for the policy of the swipe and sign cards as its been refused twice for him from the store. Agent is asking for store details the customer visits and added that that they do accept the Visa/Mastercard gift cards.
" your new iOS SUCKS. Battery drain is absurd on my 7, now, and Messages doesnt display names half the time, just a number. Fix it! ! <BR> Wed like to see what we can do to help get this sorted out. Are you able to see your full contacts in the Contacts app? <BR> AppleSupport Yes <BR> Can you let us know the exact version of iOS 11 that youre using? To check, go to Settings gt General gt About. <BR> AppleSupport 11.0.3 <BR> Got it. About how long does a full charge power your iPhone 7 now? <BR> AppleSupport About half a day. Prior to upgrade I didnt need a charge till end of day. I havent changed my useage. <BR> We understand what you mean. DM us next and let us know about when you installed the 11.0.3 update exactly. <LINK> <BR>","Customer is complaining the issue of battery drain. Agent updated the customer to install the new version of iOS i.e, 11.0.3."
"Delta Im on flight 2433 to MSY from ATL seat 1A looks like your window needs fixin! Shade obviously doesnt work either! <LINK> <BR> Harley. Im very sorry to hear this. What is your seat number I will report it to maintenance? Unless, youve already HTP <BR> reported it to the flight attendant. HTP <BR> Delta Its seat 1A. <BR> Thank you for the additional information. HTP <BR> Delta Youre welcome. Im unhappy I wont be able to close the shade to get some rest I planned on getting this flight. <BR> Hi Harley. I see that you were speaking with my colleague previously. One moment please and I will be right with you. HAN <BR> Delta Thank you . Look forward to your reply. <BR>",Customer is complaining that the window need to be fixed in seat 1A on flight 2433 to MYS from ATL. Agent updates that this complaint has been reported to the flight attendant.
"XboxSupport Hello, I was playing saints row the third the complete package via BC. I was able to installed all the DLC however the DLC doesnt popped up on my game. Im not sure if I need to reach a certain point in the game to unlock them. Please assist. <BR> Hello! Are you playing the game using the first or second disk? RR <BR> XboxSupport Hello, Im using the second disk. <BR> Thanks for that! Lets try uninstalling the game, power cycling, and reinstalling 1 RR <BR> the game using the 2nd disk to see if that helps <LINK> 2 RR <BR> XboxSupport Hi, will my saved data be erased if I uninstall? <BR> XboxSupport Hi, I tried reinstalling it with the 2nd disk, however when I tried to install the 1st disk after that. The 1st disk just launch the game and it didnt download the DLC <BR> XboxSupport Hi, the issue has been solved. It seems that I have to play with the 1st disk in order to access the DLC. No matter what I tired, the 2nd disk will not activate the DLC. However the 1st disk will crash if I press continue. the only way to resolve it is to restart the console. <BR>","Customer is requesting to assist about the game where they were able to install all the DLC but DLC is not popping up on their game and not sure that they need to reach a certain point in th game to unlock them. Agent updates to try uninstalling the game, power cycling and reinstalling."
"Cant trust TacoBellTeam I go to your establishment and not ONCE have I been given my full order. I expect at the very least an apology <BR> Thats unacceptable. Which location does this keep happening at? <BR> TacoBellTeam Henrietta and Brockport many times <BR> Where are those located at? <BR> TacoBellTeam Rochester, NY <BR> Thanks for that. Well speak with management. <BR> TacoBellTeam Will I be compensated for not receiving my food? <BR> Lets talk. DM us. <LINK> <BR>",Customer is complaining about not receiving the food ordered. Agent updated that they will speak with management and inform the customer to DM.
Delta why is my seat missing an armrest.paying a full ticket fare I would at least like to have two armrests. <LINK> <BR> Hi Allen. Thank you for bringing this to our attention. Ill definitely pass this along to our Cabin Maintenance Crew. TDH <BR> Delta Thank you Delta. I am certainly disappointed by this <BR> My apology for the missing armrest. I can offer you 4000 bonus miles to your SkyMiles account. TDH <BR> Delta Great. Thank you <BR> Thank you for your patience. Bonus miles will post to your account within 7 days. TDH <BR> Delta Ok do you need my info? <BR> No sir. I have all your information here. Thank you. TDH <BR>,Customer complains about missing armrest in his seat. Agents compensate by offering 4000 bonus miles getting credited to customers SkyMiles account.
". VerizonSupport no PowerfulAnswers from you today. Thankful family member is Teamiphone allowing me to use hotspot so I can work while on call. Lets see what happens at 8am, PowerfulAnswers then? Hope technician is competent. <BR> It would be our pleasure to assistBAB <BR> VerizonSupport <LINK> <BR> VerizonSupport Peruse ticket nyeg0m1ucf. will be receiving formal complaint. <BR> Thank you for the information. Follow and DM for further assistance. BAB <BR> VerizonSupport Wasted all of yesterday with you VerizonSupport. Just informing that PowerfulAnswers were not received and more importantly patient care not compromised thanks to iPhone hotspot of my family member. <BR> Wed be glad to assist. Please follow and DMBAB <BR> VerizonSupport Guess who has yet to arrive to assist? Imagine one has to go work and dont have luxury to be incompetent. Me waiting on PowerfulAnswers. <LINK> <BR> Whats going on? You still a question about credit? CAR <BR> VerizonSupport CREDIT?! You definitely owe that BUT I am still without service 24hrs later. Technician no where to be found told 8am, now talking about 2hr window. <BR>",The customer informs that #PowerfulAnswers were not received and adds that the patient care not compromised. The agent asks to DM to assist further to get the issue resolved.
"GloCare your network has started again in my area oooo. Seems its time to get rid of your sim card. I didnt have service since yesterday morning <BR> Sincere apologies. kindly provide your number, device type, exact location with landmark, error message, signal you can see and alternate number. AP <BR> GloCare 07051250777, Infinix Hot3, Alagbado AIT side, no signal at all, 08093955968 <BR> We apologize for the inconvenience, our engineers are working on the issue.Kindly bear with us. Thank you.AP <BR> GloCare Make it snappy got loads of things to do <BR> Okay . Thank you. AP <BR> GloCare Its not working yet. Sincerely its annoying n am fed up. Chaiiii <BR> We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA <BR> GloCare Thats not true because till now the service didnt brink at all <BR> We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. AP <BR> GloCare Now working. It shouldnt go off again ooo <BR> Thank you for the feed back.EE <BR>",Customer is complaining about mobile network service. Agents informs that his engineers are working on issue.
"Glitches galore getting echo dot to connect to firestck. Or getting certain shows to play using voice remote 115833 <BR> Whats happening when connecting your devices? Is your voice remote unable to understand your request for these shows? RA <BR> AmazonHelp Hi. 2 issues. 1st Dot says cant connect to check power and network. Both are fine. <BR> AmazonHelp 2nd. Using voice remote to access video. Ask for Homeland it takes me to Netflix, which I have. Ask for Blue Bloods, takes me to Hulu. <BR> Im sorry for the difficulty youre having. Have you tried resetting the routermodem? MH <BR> AmazonHelp No. Everything is connecting to the internet with no issues. The Dot isnt seeing Fire Stick after linking them in the app. <BR> Lets do some troubleshooting with you in real time here <LINK> JZ <BR> AmazonHelp JZ RA MI 1st issue resolved itself somehow. 2nd was unresolvable, its been escalated. Glitch in locating show via Alexa. <BR>",Customer is facing problem in connecting dot and voice remote to access video. Agent request to troubleshoot with reference to URL.
" I am 8 days without cell service because my Phone is locked to TMobile, although I fully own the phone. End this crap concept! <BR> Well check this out right away, DM me so we can dig in <LINK> TaylorBest <BR> TMobileHelp 9 Days without cell service still. That is more than 13 rd of my trip duration. If I was will it take 9 mins to resolve this? <BR> TMobileHelp Note i got a local phone for 200 that lasted one day before it broke! And data wont work. <BR> Nine days is too long without service! Please send a DM and let us know exactly whats going on! <LINK> RachaelTansey <BR> TMobileHelp I got offered an option to unlock my phone in black market for 100. I would have done it instead of this situation if i could trust them. <BR> Wed love to offer our support and help in any way that we can. Please send a DM with more details <LINK> RachaelTansey <BR> TMobileHelp Sorry for the noise but this feature is abusive and doesnt align with current TMobile anticarrier philosophy. Why I chose TMobile <BR> I see your DM amp well work with you there to get more info on this matter RachaelTansey <BR>","Customer is complaining that from 8 days without cell service because his phone is locked to t-mobile, although it fully own the phone. Agent updated that they had DM an damp they will work with there to get more info on this matter."
